SA2_CODE_2021,SUA_CODE_2021
502011022,5009
502011023,5009
502011024,5009
502011025,5009
502011026,5009
502011027,5009
502011028,5009
502011029,5009
503011030,5009
503011031,5009
503011032,5009
503011033,5009
503011034,5009
503011035,5009
503011036,5009
503021037,5009
503021038,5009
503021039,5009
503021040,5009
503021042,5009
503021043,5009
503021295,5009
503021296,5009
503021297,5009
504011044,5009
504011045,5009
504011046,5009
504011047,5009
504011048,5009
504021049,5000
504021050,5009
504021051,5009
504021052,5000
504021053,5009
504021054,5009
504031055,5000
504031056,5009
504031057,5009
504031058,5000
504031060,5000
504031061,5009
504031062,5009
504031063,5009
504031064,5000
504031065,5009
504031066,5009
504031067,5009
504031068,5009
504031069,5000
504031298,5009
504031299,5009
504031300,5009
505011070,5009
505011071,5009
505011072,5009
505011073,5009
505011074,5009
505011075,5009
505011076,5009
505011077,5009
505011078,5009
505011079,5009
505011080,5009
505011081,5009
505011082,5009
505011083,5009
505021084,5009
505021085,5009
