,UCL_CODE_2016,UCL_NAME_2016,SOSR_CODE_2016,SOSR_NAME_2016,SOS_CODE_2016,SOS_NAME_2016,AREA_ALBERS_SQKM_2016,UCL_CODE_2021,UCL_NAME_2021,SOSR_CODE_2021,SOSR_NAME_2021,SOS_CODE_2021,SOS_NAME_2021,AREA_ALBERS_SQKM_2021,Reason for change
1450,422047,Port Neill (L),422.0,200 to 499,42.0,Bounded Locality,1.3671,422043.0,Port Neill (L),422.0,499 or less,42.0,Bounded Locality,1.3718,
1451,422048,Port Victoria (L),422.0,200 to 499,42.0,Bounded Locality,1.8514,422044.0,Port Victoria (L),422.0,499 or less,42.0,Bounded Locality,1.8514,
1452,422049,Port Vincent (L),422.0,200 to 499,42.0,Bounded Locality,1.5508,422045.0,Port Vincent (L),422.0,499 or less,42.0,Bounded Locality,1.5508,
1453,422051,Saddleworth (L),422.0,200 to 499,42.0,Bounded Locality,1.181,422046.0,Saddleworth (L),422.0,499 or less,42.0,Bounded Locality,1.181,
1454,422052,Smoky Bay (L),422.0,200 to 499,42.0,Bounded Locality,0.9555,422047.0,Smoky Bay (L),422.0,499 or less,42.0,Bounded Locality,0.9555,
1455,422053,Snowtown (L),422.0,200 to 499,42.0,Bounded Locality,1.8749,422048.0,Snowtown (L),422.0,499 or less,42.0,Bounded Locality,1.8749,
1456,422054,Southend (L),422.0,200 to 499,42.0,Bounded Locality,1.6618,422049.0,Southend (L),422.0,499 or less,42.0,Bounded Locality,1.6618,
1457,422055,Spalding (L),422.0,200 to 499,42.0,Bounded Locality,0.6647,422050.0,Spalding (L),422.0,499 or less,42.0,Bounded Locality,0.6647,
1458,422056,Springton (L),422.0,200 to 499,42.0,Bounded Locality,0.5114,422051.0,Springton (L),422.0,499 or less,42.0,Bounded Locality,0.5114,
1459,421037,Stansbury (L),421.0,500 or more,42.0,Bounded Locality,1.9356,422052.0,Stansbury (L),422.0,499 or less,42.0,Bounded Locality,1.9456,
1460,422057,Swan Reach (L),422.0,200 to 499,42.0,Bounded Locality,2.834,422053.0,Swan Reach (L),422.0,499 or less,42.0,Bounded Locality,2.834,
1461,422058,Tantanoola (L),422.0,200 to 499,42.0,Bounded Locality,1.0064,422054.0,Tantanoola (L),422.0,499 or less,42.0,Bounded Locality,1.0064,
1462,422059,Tarpeena (L),422.0,200 to 499,42.0,Bounded Locality,2.4325,422055.0,Tarpeena (L),422.0,499 or less,42.0,Bounded Locality,2.4325,
